title,year,rating,genres,actors,directors
Inception,2010,8.8,Sci-Fi|Thriller,Leonardo DiCaprio|Joseph Gordon-Levitt|Tom Hardy,Christopher Nolan
The Dark Knight,2008,9.0,Action|Crime|Drama,Christian Bale|Heath Ledger|Joseph Gordon-Levitt,Christopher Nolan
Interstellar,2014,8.7,Sci-Fi|Drama,Matthew McConaughey|Anne Hathaway|Jessica Chastain,Christopher Nolan
The Prestige,2006,8.5,Drama|Mystery|Thriller,Christian Bale|Hugh Jackman|Scarlett Johansson,Christopher Nolan
Titanic,1997,7.9,Drama|Romance,Leonardo DiCaprio|Kate Winslet|Billy Zane,James Cameron
Shutter Island,2010,8.2,Mystery|Thriller,Leonardo DiCaprio|Mark Ruffalo|Ben Kingsley,Martin Scorsese
The Departed,2006,8.5,Crime|Drama|Thriller,Leonardo DiCaprio|Matt Damon|Mark Wahlberg,Martin Scorsese
Avengers: Endgame,2019,8.4,Action|Adventure|Sci-Fi,Robert Downey Jr.|Chris Evans|Scarlett Johansson,Anthony Russo|Joe Russo
Iron Man,2008,7.9,Action|Adventure|Sci-Fi,Robert Downey Jr.|Gwyneth Paltrow|Jeff Bridges,Jon Favreau
The Martian,2015,8.0,Adventure|Drama|Sci-Fi,Matt Damon|Jessica Chastain|Jeff Daniels,Ridley Scott
Ford v Ferrari,2019,8.1,Action|Drama,Matt Damon|Christian Bale|Jon Bernthal,James Mangold
Good Will Hunting,1997,8.3,Drama|Romance,Matt Damon|Robin Williams|Ben Affleck,Gus Van Sant
Saving Private Ryan,1998,8.6,Drama|War,Tom Hanks|Matt Damon|Vin Diesel,Steven Spielberg
Catch Me If You Can,2002,8.1,Crime|Drama,Leonardo DiCaprio|Tom Hanks|Amy Adams,Steven Spielberg
The Terminal,2004,7.4,Comedy|Drama,Tom Hanks|Catherine Zeta-Jones,Steven Spielberg
